Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier\n
Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier\n
Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier\n
Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier
ART,07,WATERTOWN,NY,LOC,2203,2890,2934,4162,EA,3,2710
ASE,15,ASPEN,CO,LOC,9027,9831,9937,4879,NM,3,2710
ASG,18,SPRINGDALE,AR,GS,6458,9792,10680,3148,SW,3,2710
ASG,18,SPRINGDALE,AR,LOC,16277,16692,14797,9079,SW,3,2710
ASH,14,NASHUA,NH,GS,1053,245,914,2390,NE,3,2710
ASH,14,NASHUA,NH,LOC,11324,11578,8800,15825,NE,3,2710
ASN,04,TALLADEGA,AL,GS,16516,17910,15672,11051,SO,3,2710
ASN,04,TALLADEGA,AL,LOC,12419,12254,12213,1372,SO,3,2710
ASO,19,WASHINGTON,DC,GS,14887,14723,5041,57963,EA,,2710
ASO,19,WASHINGTON,DC,LOC,14946,14967,9893,25453,EA,1,2710
AST,26,ASTORIA,OR,GS,3785,3924,3130,12148,NM,3,2710
AST,26,ASTORIA,OR,LOC,12772,11151,6988,28921,NM,3,2710
ASW,27,WARSAW,IN,GS,79920,86544,111465,16830,GL,X,2710
ASW,27,WARSAW,IN,LOC,240408,-1,-1,240408,GL,X,2710
ASX,02,ASHLAND,WI,LOC,63082,62951,66639,59525,GL,3,2710
ATD,06L,DAYTON,OH,GS,6081,5782,6896,8566,GL,3,2710
ATD,06L,DAYTON,OH,LOC,2269,2412,5087,1737,GL,3,2710
ATE,33,MOBILE,AL,GS,851,172,566,1740,SO,3,2710
ATE,33,MOBILE,AL,LOC,858,0,762,1521,SO,3,2710
ATL,08R,ATLANTA,GA,GS,11307,6646,11378,251,SO,1,2710
ATL,08R,ATLANTA,GA,LOC,10647,20352,24576,11335,SO,1,2710
ATW,03,APPLETON,WI,GS,2440,2117,7748,7249,GL,3,2710
ATW,03,APPLETON,WI,LOC,6128,8763,9295,3075,GL,3,2710
ATY,35,WATERTOWN,SD,GS,3905,1219,3951,7759,GL,3,2710
ATY,35,WATERTOWN,SD,LOC,9141,9533,9923,11745,GL,3,2710
AUG,17,AUGUSTA,ME,GS,1401,1629,1741,1689,NE,3,2710
AUG,17,AUGUSTA,ME,LOC,5165,5114,881,21872,NE,3,2710
AUM,35,AUSTIN,MN,GS,61200,60712,72356,50043,GL,X,2710
AUM,35,AUSTIN,MN,LOC,2251,0,1000,6340,GL,X,2710
AUO,36,AUBURN,AL,GS,2950,3394,3294,6629,SO,1,2710
AUO,36,AUBURN,AL,LOC,9836,10219,6478,17025,SO,1,2710
AVC,01,SOUTH HILL,VA,LOC,60488,56292,64125,53215,EA,X,2710
AVL,35,ASHEVILLE,NC,GS,13360,13756,13131,5554,SO,3,2710
AVL,35,ASHEVILLE,NC,LOC,21961,23066,23815,7563,SO,3,2710
AVP,04,WILKES-BARRE,PA,GS,1600,2037,3730,1664,EA,3,2710
AVP,04,WILKES-BARRE,PA,LOC,3838,4749,4187,1664,EA,3,2710
AWD,06R,GUAM AGANA,GU,GS,7257,6578,4705,14195,WP,3,2710
AWD,06R,GUAM AGANA,GU,LOC,10515,11145,7330,19097,WP,3,2710
AWO,34,ARLINGTON,WA,LOC,2663,2335,1480,6752,NM,3,2710
AWY,24,ERIE,PA,GS,10978,11389,9975,5075,EA,3,2710
AWY,24,ERIE,PA,LOC,19982,19938,9556,53484,EA,3,2710
AXH,09,ARCOLA,TX,LOC,362304,-1,-1,362304,SW,X,2710
AXV,26,WAPAKONETA,OH,LOC,85728,-1,-1,85728,GL,,2710
AYN,02,WATSONVILLE,CA,LOC,5829,5829,4642,5935,WP,1,2710
AYS,19,WAYCROSS,GA,GS,4437,4762,3855,3031,SO,3,2710
AYS,19,WAYCROSS,GA,LOC,17545,18335,17688,6194,SO,3,2710
AZO,35,KALAMAZOO,MI,GS,3185,3351,2819,3009,GL,3,2710
AZO,35,KALAMAZOO,MI,LOC,7963,8713,8423,3031,GL,3,2710
BAF,20,WESTFIELD,MA,GS,2003,1701,2013,5669,NE,3,2710
BAF,20,WESTFIELD,MA,LOC,12596,13852,10017,21367,NE,3,2710
BAK,23,COLUMBUS,IN,GS,24075,29509,28719,19138,GL,3,2710
BAK,23,COLUMBUS,IN,LOC,4068,3782,3336,11595,GL,3,2710
BAL,10,BALTIMORE,MD,GS,10061,10204,11835,10563,EA,1,2710
BAL,10,BALTIMORE,MD,LOC,7312,8660,7133,9435,EA,1,2710
BAO,32,ST PAUL,MN,GS,5378,4388,4186,7807,GL,3,2710
BAO,32,ST PAUL,MN,LOC,3393,3780,3251,941,GL,3,2710
BBG,32,BRANSON,MO,GS,108696,-1,-1,108696,CE,X,2710
BBG,32,BRANSON,MO,LOC,108696,-1,-1,108696,CE,X,2710
BBJ,26,KEOKUK,IA,GS,4449,2156,6348,7253,CE,3,2710
BBJ,26,KEOKUK,IA,LOC,17900,18315,15701,12729,CE,3,2710
BCB,13,BLACKSBURG,VA,LOC,142079,138559,229669,54488,EA,X,2710
BCU,15,HYANNIS,MA,GS,861,155,422,2333,NE,3,2710
BCU,15,HYANNIS,MA,LOC,1650,1961,917,3804,NE,3,2710
BDE,30,BAUDETTE,MN,GS,50581,47840,78910,22252,GL,X,2710
BDE,30,BAUDETTE,MN,LOC,32840,21458,46320,5881,GL,X,2710
BDH,13,WILLMAR,MN,GS,131136,-1,-1,131136,GL,X,2710
BDH,13,WILLMAR,MN,LOC,32241,29382,34491,25492,GL,X,2710
BDL,06,WINDSOR LOCKS,CT,GS,23384,24311,23724,1570,NE,3,2710
BDL,06,WINDSOR LOCKS,CT,LOC,6876,4352,3511,17965,NE,3,2710
BDR,06,STRATFORD,CT,GS,1994,167,1709,3175,NE,3,2710
BDR,06,STRATFORD,CT,LOC,1985,2347,1897,1804,NE,3,2710
BED,11,BEDFORD,MA,GS,2002,1511,1431,2861,NE,3,2710
BED,11,BEDFORD,MA,LOC,7008,6974,6039,4879,NE,3,2710
BEH,28,BENTON HARBOR,MI,GS,3632,4394,3512,676,GL,3,2710
BEH,28,BENTON HARBOR,MI,LOC,2091,3620,3920,843,GL,3,2710
BEJ,34L,SEATTLE,WA,GS,38734,46801,58003,195,NM,1,2710
BEJ,34L,SEATTLE,WA,LOC,23224,18754,23750,21120,NM,1,2710
BER,23,ADAK,AK,GS,2749,2909,2520,1343,AL,3,2710
BER,23,ADAK,AK,LOC,1246,1094,963,1467,AL,3,2710
BET,19R,BETHEL,AK,GS,7915,8411,7612,4038,AL,3,2710
BET,19R,BETHEL,AK,LOC,432,689,336,816,AL,3,2710
BEY,15,BUTTE,MT,GS,7434,7213,3312,22446,NM,1,2710
BEY,15,BUTTE,MT,LOC,2214,1623,4882,9364,NM,1,2710
BFD,32,BRADFORD,PA,GS,13790,15203,14717,820,EA,3,2710
BFD,32,BRADFORD,PA,LOC,5185,7815,8196,981,EA,3,2710
BFF,30,SCOTTSBLUFF,NE,GS,44258,51332,50814,18035,NM,3,2710
BFF,30,SCOTTSBLUFF,NE,LOC,6042,4875,3634,12058,NM,3,2710
BFI,14R,SEATTLE,WA,GS,3598,3647,3650,218,NM,3,2710
BFI,14R,SEATTLE,WA,LOC,12139,13125,15104,2387,NM,3,2710
BFL,30R,BAKERSFIELD,CA,GS,2342,2522,2013,2307,WP,3,2710
BFL,30R,BAKERSFIELD,CA,LOC,2814,2937,536,11560,WP,3,2710
BFO,26,BEAUFORT,NC,LOC,82531,81837,75126,97342,SO,,2710
BFT,24R,CLEVELAND,OH,GS,8069,6988,6833,7620,GL,3,2710
BFT,24R,CLEVELAND,OH,LOC,14579,13983,10660,25931,GL,3,2710
BGE,27,BAINBRIDGE,GA,GS,50976,-1,-1,50976,SO,X,2710
BGE,27,BAINBRIDGE,GA,LOC,151920,-1,-1,151920,SO,X,2710
BGM,34,BINGHAMTON,NY,GS,4757,2938,5658,2720,EA,3,2710
BGM,34,BINGHAMTON,NY,LOC,2944,2898,3215,2720,EA,3,2710
BGR,33,BANGOR,ME,GS,5526,10341,9744,537,NE,3,2710
BGR,33,BANGOR,ME,LOC,8759,8661,5712,19308,NE,3,2710
BHB,22,BAR HARBOR,ME,GS,7059,10604,12835,3969,NE,3,2710
BHB,22,BAR HARBOR,ME,LOC,1945,1634,921,9706,NE,3,2710
BHM,06,BIRMINGHAM,AL,GS,2690,3567,7591,5304,SO,3,2710
BHM,06,BIRMINGHAM,AL,LOC,3349,3821,5143,2331,SO,3,2710
BIH,17,BISHOP,CA,LOC,7556,4670,19175,12125,WP,2,2710
BIJ,23,BLAKELY,GA,LOC,153048,-1,-1,153048,SO,,2710
BIL,10L,BILLINGS,MT,GS,3363,4523,3502,797,NM,3,2710
BIL,10L,BILLINGS,MT,LOC,4538,5108,5054,867,NM,3,2710
BIS,31,BISMARCK,ND,GS,5152,6199,5718,2505,GL,3,2710
BIS,31,BISMARCK,ND,LOC,19852,20688,20798,9068,GL,3,2710
BIV,26,HOLLAND,MI,GS,14500,9559,14377,11546,GL,X,2710
BIV,26,HOLLAND,MI,LOC,77624,77021,67892,97087,GL,X,2710
BJC,30R,BROOMFIELD,CO,GS,725,0,800,1102,NM,3,2710
BJC,30R,BROOMFIELD,CO,LOC,11287,12396,12246,389,NM,3,2710
BJI,25,BEMIDJI,MN,GS,2457,0,2888,1162,GL,X,2710
BJI,25,BEMIDJI,MN,LOC,1217,0,2103,1162,GL,X,2710
BJP,14,INDIANAPOLIS,IN,GS,9561,9760,7934,25019,GL,2,2710
BJP,14,INDIANAPOLIS,IN,LOC,36861,41146,36491,10656,GL,2,2710
BKX,12,BROOKINGS,SD,GS,4225,3479,1778,12248,GL,3,2710
BKX,12,BROOKINGS,SD,LOC,4597,6278,7854,2214,GL,3,2710
BKY,30L,ST LOUIS,MO,GS,13565,14118,13256,1900,CE,2,2710
BKY,30L,ST LOUIS,MO,LOC,17111,17507,9975,38733,CE,2,2710
BLF,23,BLUEFIELD,WV,GS,4807,4287,3271,7901,EA,3,2710
BLF,23,BLUEFIELD,WV,LOC,5160,5961,5979,682,EA,3,2710
BLI,16,BELLINGHAM,WA,GS,2877,6050,7989,1661,NM,3,2710
BLI,16,BELLINGHAM,WA,LOC,20226,22158,22742,2624,NM,3,2710
BLY,19R,MILWAUKEE,WI,GS,4664,4966,5260,2207,GL,2,2710
BLY,19R,MILWAUKEE,WI,LOC,10337,11642,9931,2285,GL,2,2710
BMA,35,MINNEAPOLIS,MN,GS,23455,25536,18540,34448,GL,1,2710
BMA,35,MINNEAPOLIS,MN,LOC,7303,7582,7089,1734,GL,1,2710
BMG,35,BLOOMINGTON,IN,GS,9487,8888,5646,39445,GL,3,2710
BMG,35,BLOOMINGTON,IN,LOC,4660,5222,5453,5383,GL,3,2710
BMI,29,BLOOMINGTON,IL,GS,25975,25964,18929,38459,GL,3,2710
BMI,29,BLOOMINGTON,IL,LOC,4096,5188,7038,3173,GL,3,2710
BMO,28R,BILLINGS,MT,GS,2253,2504,2141,2810,NM,3,2710
BMO,28R,BILLINGS,MT,LOC,1645,1526,2642,334,NM,3,2710
BNA,02L,NASHVILLE,TN,GS,31739,32260,27947,18964,SO,2,2710
BNA,02L,NASHVILLE,TN,LOC,4162,5299,7904,4352,SO,2,2710
BNE,34,RICHMOND,VA,GS,6218,7077,7529,1129,EA,3,2710
BNE,34,RICHMOND,VA,LOC,3547,3768,4159,369,EA,3,2710
BNQ,32,BUFFALO,NY,GS,4559,4978,314,21365,EA,3,2710
BNQ,32,BUFFALO,NY,LOC,16699,18201,15549,34807,EA,3,2710
BNT,17,SALT LAKE CITY,UT,GS,14255,15343,15718,458,NM,1,2710
BNT,17,SALT LAKE CITY,UT,LOC,85176,-1,-1,85176,NM,1,2710
BNX,32,FALMOUTH,MA,GS,777,0,237,2726,NE,1,2710
BNX,32,FALMOUTH,MA,LOC,2525,3007,2062,5264,NE,1,2710
BOI,10R,BOISE,ID,GS,23288,23891,22517,4577,NM,3,2710
BOI,10R,BOISE,ID,LOC,11538,14169,13395,7683,NM,3,2710
BON,05,TRI CITY,TN,GS,1262,523,1226,514,SO,3,2710
BON,05,TRI CITY,TN,LOC,23051,25456,21550,9249,SO,3,2710
BOS,04R,EAST BOSTON,MA,GS,22369,21782,8497,69587,NE,1,2710
BOS,04R,EAST BOSTON,MA,LOC,14379,16294,16231,629,NE,1,2710
BPK,05,MOUNTAIN HOME,AR,GS,969,1113,1010,487,SW,3,2710
BPK,05,MOUNTAIN HOME,AR,LOC,19706,20180,19557,1019,SW,3,2710
BPM,13,ST CLOUD,MN,GS,65092,16485,127393,2791,GL,X,2710
BPM,13,ST CLOUD,MN,LOC,130200,-1,-1,130200,GL,X,2710
BPT,12,BEAUMONT,TX,GS,6303,7071,4999,11521,SW,3,2710
BPT,12,BEAUMONT,TX,LOC,4996,5603,4377,3095,SW,3,2710
BQC,36R,CHARLOTTE,NC,GS,17353,15331,8171,51748,SO,1,2710
BQC,36R,CHARLOTTE,NC,LOC,10552,13462,10975,221,SO,1,2710
BQE,25,TOLEDO,OH,GS,7272,7629,5071,11764,GL,3,2710
BQE,25,TOLEDO,OH,LOC,3705,4600,4310,1397,GL,3,2710
BQG,15,MIDDLE RIVER,MD,LOC,3228,3495,4325,4321,EA,3,2710
BQK,07,BRUNSWICK,GA,GS,6461,7529,7903,3753,SO,3,2710
BQK,07,BRUNSWICK,GA,LOC,2097,2055,541,7783,SO,3,2710
BRD,23,BRAINERD,MN,GS,3953,0,8971,10456,GL,1,2710
BRD,23,BRAINERD,MN,LOC,7177,5285,5281,9892,GL,1,2710
BRL,36,BURLINGTON,IA,GS,12004,9481,4224,39771,CE,3,2710
BRL,36,BURLINGTON,IA,LOC,20024,20083,10793,46172,CE,3,2710
BRO,13,BROWNSVILLE,TX,GS,1660,2256,2496,2043,SW,3,2710
BRO,13,BROWNSVILLE,TX,LOC,4561,4999,4250,3529,SW,3,2710
BRU,26L,ATLANTA,GA,GS,30614,30856,30741,148,SO,1,2710
BRU,26L,ATLANTA,GA,LOC,16135,24278,30358,4081,SO,1,2710
BRW,07,BARROW,AK,GS,6033,4710,4414,11279,AL,3,2710
BRW,07,BARROW,AK,LOC,8202,6730,3283,25735,AL,3,2710
BSC,15,ANCHORAGE,AK,GS,6532,6942,6451,3984,AL,2,2710
BSC,15,ANCHORAGE,AK,LOC,5907,4694,3630,11789,AL,2,2710
BSM,36L,AUSTIN,TX,GS,2595,831,1038,10350,SW,2,2710
BSM,36L,AUSTIN,TX,LOC,41312,45291,39472,46831,SW,2,2710
BSQ,36,MYRTLE BEACH,SC,GS,19731,21212,21665,5622,SO,3,2710
BSQ,36,MYRTLE BEACH,SC,LOC,16326,15350,8529,56163,SO,3,2710
BTC,14L,BELLEVILLE,IL,GS,5505,5549,5081,2159,GL,3,2710
BTC,14L,BELLEVILLE,IL,LOC,5733,9103,11285,7568,GL,3,2710
BTL,23R,BATTLE CREEK,MI,GS,5075,5449,4488,3081,GL,3,2710
BTL,23R,BATTLE CREEK,MI,LOC,7719,8005,5576,11313,GL,3,2710
BTP,08,BUTLER,PA,GS,20461,19884,12900,51869,EA,2,2710
BTP,08,BUTLER,PA,LOC,31611,30703,19500,61326,EA,2,2710
BTR,13,BATON ROUGE,LA,GS,3417,3536,3405,4998,SW,3,2710
BTR,13,BATON ROUGE,LA,LOC,4213,4685,3806,3220,SW,3,2710
BTT,01,BETTLES,AK,LOC,14106,14419,2925,68191,AL,,2710
BTV,15,BURLINGTON,VT,GS,3242,2852,3327,2219,NE,3,2710
